#,Side,Entry Time,Exit Time,Entry Price,Exit Price,P&L,Duration,Entry Reason,Exit Reason
2505,CALL,2026-02-23T13:46:00+05:30,2026-02-23T13:52:00+05:30,25667.90,25653.10,-14.80,6m0s,"1m CALL entry: EMA6(2565993) EMA9(2565739) > MA21(2565563), close=2566790","1m CALL exit: EMA6(2565575) crossed below EMA9(2565579), close=2565310"
2506,PUT,2026-02-23T13:57:00+05:30,2026-02-23T14:15:00+05:30,25643.40,25636.05,7.35,18m0s,"1m PUT entry: EMA6(2564996) EMA9(2565137) < MA21(2565276), close=2564340","1m PUT exit: EMA6(2562970) crossed above EMA9(2562918), close=2563605"
2507,PUT,2026-02-23T14:16:00+05:30,2026-02-23T14:18:00+05:30,25622.85,25643.45,-20.60,2m0s,"1m PUT re-entry: EMA6(2562774) EMA9(2562791) < MA21(2563041), close=2562285","1m PUT exit: EMA6(2563236) crossed above EMA9(2563109), close=2564345"
2508,PUT,2026-02-23T14:45:00+05:30,2026-02-23T14:47:00+05:30,25672.55,25688.15,-15.60,2m0s,"1m PUT entry: EMA6(2567616) EMA9(2567726) < MA21(2567729), close=2567255","1m PUT exit: EMA6(2568130) crossed above EMA9(2568061), close=2568815"
2509,PUT,2026-02-23T14:48:00+05:30,2026-02-23T15:00:00+05:30,25683.80,25702.45,-18.65,12m0s,"1m PUT entry: EMA6(2568201) EMA9(2568125) < MA21(2568260), close=2568380","1m PUT exit: EMA6(2568392) crossed above EMA9(2568259), close=2570245"
2510,PUT,2026-02-23T15:20:00+05:30,2026-02-23T15:24:00+05:30,25712.70,25719.30,-6.60,4m0s,"1m PUT entry: EMA6(2571529) EMA9(2571505) < MA21(2571547), close=2571270","1m PUT exit: EMA6(2571415) crossed above EMA9(2571411), close=2571930"
2511,CALL,2026-02-23T15:26:00+05:30,2026-02-23T15:29:00+05:30,25721.05,25704.00,-17.05,3m0s,"1m CALL entry: EMA6(2571661) EMA9(2571589) > MA21(2571512), close=2572105",end of day (15:29 close)
2512,CALL,2026-02-24T09:49:00+05:30,2026-02-24T09:51:00+05:30,25525.35,25502.55,-22.80,2m0s,"1m CALL entry: EMA6(2552011) EMA9(2551768) > MA21(2551640), close=2552535","1m CALL exit: EMA6(2551217) crossed below EMA9(2551275), close=2550255"
2513,CALL,2026-02-24T09:55:00+05:30,2026-02-24T10:03:00+05:30,25516.70,25506.85,-9.85,8m0s,"1m CALL entry: EMA6(2551037) EMA9(2551046) > MA21(2551020), close=2551670","1m CALL exit: EMA6(2551275) crossed below EMA9(2551301), close=2550685"
2514,CALL,2026-02-24T10:05:00+05:30,2026-02-24T10:11:00+05:30,25518.85,25500.95,-17.90,6m0s,"1m CALL re-entry: EMA6(2551476) EMA9(2551434) > MA21(2551367), close=2551885","1m CALL exit: EMA6(2551289) crossed below EMA9(2551426), close=2550095"
2515,PUT,2026-02-24T10:12:00+05:30,2026-02-24T10:20:00+05:30,25495.10,25511.80,-16.70,8m0s,"1m PUT entry: EMA6(2550781) EMA9(2551043) < MA21(2551310), close=2549510","1m PUT exit: EMA6(2549829) crossed above EMA9(2549812), close=2551180"
2516,PUT,2026-02-24T10:23:00+05:30,2026-02-24T10:30:00+05:30,25492.55,25500.60,-8.05,7m0s,"1m PUT re-entry: EMA6(2549739) EMA9(2549770) < MA21(2550333), close=2549255","1m PUT exit: EMA6(2549603) crossed above EMA9(2549573), close=2550060"
2517,PUT,2026-02-24T10:46:00+05:30,2026-02-24T11:01:00+05:30,25490.30,25482.25,8.05,15m0s,"1m PUT entry: EMA6(2549751) EMA9(2549899) < MA21(2550058), close=2549030","1m PUT exit: EMA6(2547557) crossed above EMA9(2547493), close=2548225"
2518,CALL,2026-02-24T11:04:00+05:30,2026-02-24T11:34:00+05:30,25484.65,25506.55,21.90,30m0s,"1m CALL entry: EMA6(2548104) EMA9(2547940) > MA21(2547733), close=2548465","1m CALL exit: EMA6(2551075) crossed below EMA9(2551112), close=2550655"
2519,PUT,2026-02-24T11:36:00+05:30,2026-02-24T11:38:00+05:30,25506.40,25519.15,-12.75,2m0s,"1m PUT entry: EMA6(2550877) EMA9(2550954) < MA21(2550991), close=2550640","1m PUT exit: EMA6(2551297) crossed above EMA9(2551230), close=2551915"
2520,PUT,2026-02-24T11:44:00+05:30,2026-02-24T12:36:00+05:30,25501.55,25432.90,68.65,52m0s,"1m PUT entry: EMA6(2550894) EMA9(2551030) < MA21(2551186), close=2550155","1m PUT exit: EMA6(2543031) crossed above EMA9(2543025), close=2543290"
2521,CALL,2026-02-24T12:39:00+05:30,2026-02-24T12:40:00+05:30,25427.50,25427.55,0.05,1m0s,"1m CALL entry: EMA6(2543098) EMA9(2543092) > MA21(2543053), close=2542750","1m CALL exit: EMA6(2543000) crossed below EMA9(2543024), close=2542755"
2522,PUT,2026-02-24T12:42:00+05:30,2026-02-24T12:59:00+05:30,25420.95,25404.70,16.25,17m0s,"1m PUT entry: EMA6(2542636) EMA9(2542752) < MA21(2542812), close=2542095","1m PUT exit: EMA6(2540180) crossed above EMA9(2540179), close=2540470"
2523,PUT,2026-02-24T13:00:00+05:30,2026-02-24T13:01:00+05:30,25401.45,25407.60,-6.15,1m0s,"1m PUT re-entry: EMA6(2540170) EMA9(2540172) < MA21(2540476), close=2540145","1m PUT exit: EMA6(2540339) crossed above EMA9(2540290), close=2540760"
2524,CALL,2026-02-24T13:02:00+05:30,2026-02-24T13:16:00+05:30,25409.00,25412.20,3.20,14m0s,"1m CALL entry: EMA6(2540499) EMA9(2540412) > MA21(2540306), close=2540900","1m CALL exit: EMA6(2541840) crossed below EMA9(2541855), close=2541220"
2525,CALL,2026-02-24T13:19:00+05:30,2026-02-24T13:20:00+05:30,25422.60,25416.65,-5.95,1m0s,"1m CALL re-entry: EMA6(2541884) EMA9(2541867) > MA21(2541664), close=2542260","1m CALL exit: EMA6(2541821) crossed below EMA9(2541826), close=2541665"
2526,PUT,2026-02-24T13:21:00+05:30,2026-02-24T13:40:00+05:30,25413.90,25369.85,44.05,19m0s,"1m PUT entry: EMA6(2541698) EMA9(2541739) < MA21(2541780), close=2541390","1m PUT exit: EMA6(2536183) crossed above EMA9(2536125), close=2536985"
2527,CALL,2026-02-24T13:46:00+05:30,2026-02-24T13:50:00+05:30,25365.65,25362.60,-3.05,4m0s,"1m CALL entry: EMA6(2536598) EMA9(2536504) > MA21(2536404), close=2536565","1m CALL exit: EMA6(2536399) crossed below EMA9(2536402), close=2536260"
2528,CALL,2026-02-24T13:51:00+05:30,2026-02-24T14:05:00+05:30,25366.30,25386.85,20.55,14m0s,"1m CALL re-entry: EMA6(2536465) EMA9(2536448) > MA21(2535801), close=2536630","1m CALL exit: EMA6(2539376) crossed below EMA9(2539397), close=2538685"
2529,CALL,2026-02-24T14:07:00+05:30,2026-02-24T14:23:00+05:30,25401.30,25404.60,3.30,16m0s,"1m CALL re-entry: EMA6(2539509) EMA9(2539475) > MA21(2538721), close=2540130","1m CALL exit: EMA6(2542356) crossed below EMA9(2542567), close=2540460"
2530,PUT,2026-02-24T14:25:00+05:30,2026-02-24T14:38:00+05:30,25413.65,25420.95,-7.30,13m0s,"1m PUT entry: EMA6(2541696) EMA9(2541998) < MA21(2542185), close=2541365","1m PUT exit: EMA6(2541036) crossed above EMA9(2540971), close=2542095"
2531,CALL,2026-02-24T14:40:00+05:30,2026-02-24T14:43:00+05:30,25417.20,25402.10,-15.10,3m0s,"1m CALL entry: EMA6(2541367) EMA9(2541237) > MA21(2541202), close=2541720","1m CALL exit: EMA6(2541100) crossed below EMA9(2541123), close=2540210"
2532,PUT,2026-02-24T14:44:00+05:30,2026-02-24T14:51:00+05:30,25381.25,25416.85,-35.60,7m0s,"1m PUT entry: EMA6(2540250) EMA9(2540523) < MA21(2540851), close=2538125","1m PUT exit: EMA6(2540173) crossed above EMA9(2540002), close=2541685"
2533,CALL,2026-02-24T14:52:00+05:30,2026-02-24T15:04:00+05:30,25417.95,25406.85,-11.10,12m0s,"1m CALL entry: EMA6(2540636) EMA9(2540361) > MA21(2540249), close=2541795","1m CALL exit: EMA6(2541373) crossed below EMA9(2541439), close=2540685"
2534,CALL,2026-02-24T15:06:00+05:30,2026-02-24T15:07:00+05:30,25419.15,25406.80,-12.35,1m0s,"1m CALL re-entry: EMA6(2541560) EMA9(2541549) > MA21(2541077), close=2541915","1m CALL exit: EMA6(2541308) crossed below EMA9(2541375), close=2540680"
2535,PUT,2026-02-24T15:09:00+05:30,2026-02-24T15:11:00+05:30,25413.75,25420.40,-6.65,2m0s,"1m PUT entry: EMA6(2541307) EMA9(2541349) < MA21(2541451), close=2541375","1m PUT exit: EMA6(2541542) crossed above EMA9(2541500), close=2542040"
2536,CALL,2026-02-24T15:13:00+05:30,2026-02-24T15:29:00+05:30,25422.80,25460.25,37.45,16m0s,"1m CALL entry: EMA6(2541850) EMA9(2541739) > MA21(2541628), close=2542280",end of day (15:29 close)
2537,CALL,2026-02-25T09:40:00+05:30,2026-02-25T09:41:00+05:30,25580.10,25568.85,-11.25,1m0s,"1m CALL entry: EMA6(2557551) EMA9(2557519) > MA21(2557513), close=2558010","1m CALL exit: EMA6(2557361) crossed below EMA9(2557392), close=2556885"
2538,CALL,2026-02-25T09:48:00+05:30,2026-02-25T09:54:00+05:30,25581.50,25574.00,-7.50,6m0s,"1m CALL entry: EMA6(2557663) EMA9(2557539) > MA21(2557500), close=2558150","1m CALL exit: EMA6(2557582) crossed below EMA9(2557589), close=2557400"
